603.190030 1000000.000000 0.000000 0.000000 3.978874 3.978874 3.978874 3.978874
603.190030 1000000.000000 0.010000 10000.000000 3.939085 3.939085 3.978874 3.978874
603.190030 1000000.000000 0.020000 20000.000000 3.899296 3.899296 3.978874 3.978874
603.190030 1000000.000000 0.030000 30000.000000 3.859507 3.859507 3.978874 3.978874
603.190030 1000000.000000 0.040000 40000.000000 3.819719 3.819719 3.978874 3.978874
603.190030 1000000.000000 0.050000 50000.000000 3.779930 3.779930 3.978874 3.978874
603.190030 1000000.000000 0.060000 60000.000000 3.740141 3.740141 3.978874 3.978874
603.190030 1000000.000000 0.070000 70000.000000 3.700352 3.700352 3.978874 3.978874
603.190030 1000000.000000 0.080000 80000.000000 3.660564 3.660564 3.978874 3.978874
603.190030 1000000.000000 0.090000 90000.000000 3.620775 3.620775 3.978874 3.978874
603.190030 1000000.000000 0.100000 100000.000000 3.580986 3.580986 3.978874 3.978874
603.190030 1000000.000000 0.110000 110000.000000 3.541197 3.541197 3.978874 3.978874
603.190030 1000000.000000 0.120000 120000.000000 3.501409 3.501409 3.978874 3.978874
603.190030 1000000.000000 0.130000 130000.000000 3.461620 3.461620 3.978874 3.978874
603.190030 1000000.000000 0.140000 140000.000000 3.421831 3.421831 3.978874 3.978874
603.190030 1000000.000000 0.150000 150000.000000 3.382043 3.382043 3.978874 3.978874
603.190030 1000000.000000 0.160000 160000.000000 3.342254 3.342254 3.978874 3.978874
603.190030 1000000.000000 0.170000 170000.000000 3.302465 3.302465 3.978874 3.978874
603.190030 1000000.000000 0.180000 180000.000000 3.262676 3.262676 3.978874 3.978874
603.190030 1000000.000000 0.190000 190000.000000 3.222888 3.222888 3.978874 3.978874
603.190030 1000000.000000 0.200000 200000.000000 3.183099 3.183099 3.978874 3.978874
603.190030 1000000.000000 0.210000 210000.000000 3.143310 3.143310 3.978874 3.978874
603.190030 1000000.000000 0.220000 220000.000000 3.103521 3.103521 3.978874 3.978874
603.190030 1000000.000000 0.230000 230000.000000 3.063733 3.063733 3.978874 3.978874
603.190030 1000000.000000 0.240000 240000.000000 3.023944 3.023944 3.978874 3.978874
603.190030 1000000.000000 0.250000 250000.000000 2.984155 2.984155 3.978874 3.978874
603.190030 1000000.000000 0.260000 260000.000000 2.944366 2.944366 3.978874 3.978874
603.190030 1000000.000000 0.270000 270000.000000 2.904578 2.904578 3.978874 3.978874
603.190030 1000000.000000 0.280000 280000.000000 2.864789 2.864789 3.978874 3.978874
603.190030 1000000.000000 0.290000 290000.000000 2.825000 2.825000 3.978874 3.978874
603.190030 1000000.000000 0.300000 300000.000000 2.785212 2.785212 3.978874 3.978874
603.190030 1000000.000000 0.310000 310000.000000 2.745423 2.745423 3.978874 3.978874
603.190030 1000000.000000 0.320000 320000.000000 2.705634 2.705634 3.978874 3.978874
603.190030 1000000.000000 0.330000 330000.000000 2.665845 2.665845 3.978874 3.978874
603.190030 1000000.000000 0.340000 340000.000000 2.626057 2.626057 3.978874 3.978874
603.190030 1000000.000000 0.350000 350000.000000 2.586268 2.586268 3.978874 3.978874
603.190030 1000000.000000 0.360000 360000.000000 2.546479 2.546479 3.978874 3.978874
603.190030 1000000.000000 0.370000 370000.000000 2.506690 2.506690 3.978874 3.978874
603.190030 1000000.000000 0.380000 380000.000000 2.466902 2.466902 3.978874 3.978874
603.190030 1000000.000000 0.390000 390000.000000 2.427113 2.427113 3.978874 3.978874
603.190030 1000000.000000 0.400000 400000.000000 2.387324 2.387324 3.978874 3.978874
603.190030 1000000.000000 0.410000 410000.000000 2.347535 2.347535 3.978874 3.978874
603.190030 1000000.000000 0.420000 420000.000000 2.307747 2.307747 3.978874 3.978874
603.190030 1000000.000000 0.430000 430000.000000 2.267958 2.267958 3.978874 3.978874
603.190030 1000000.000000 0.440000 440000.000000 2.228169 2.228169 3.978874 3.978874
603.190030 1000000.000000 0.450000 450000.000000 2.188380 2.188380 3.978874 3.978874
603.190030 1000000.000000 0.460000 460000.000000 2.148592 2.148592 3.978874 3.978874
603.190030 1000000.000000 0.470000 470000.000000 2.108803 2.108803 3.978874 3.978874
603.190030 1000000.000000 0.480000 480000.000000 2.069014 2.069014 3.978874 3.978874
603.190030 1000000.000000 0.490000 490000.000000 2.029226 2.029226 3.978874 3.978874
603.190030 1000000.000000 0.500000 500000.000000 1.989437 1.989437 3.978874 3.978874
603.190030 1000000.000000 0.510000 510000.000000 1.949648 1.949648 3.978874 3.978874
603.190030 1000000.000000 0.520000 520000.000000 1.909859 1.909859 3.978874 3.978874
603.190030 1000000.000000 0.530000 530000.000000 1.870071 1.870071 3.978874 3.978874
603.190030 1000000.000000 0.540000 540000.000000 1.830282 1.830282 3.978874 3.978874
603.190030 1000000.000000 0.550000 550000.000000 1.790493 1.790493 3.978874 3.978874
603.190030 1000000.000000 0.560000 560000.000000 1.750704 1.750704 3.978874 3.978874
603.190030 1000000.000000 0.570000 570000.000000 1.710916 1.710916 3.978874 3.978874
603.190030 1000000.000000 0.580000 580000.000000 1.671127 1.671127 3.978874 3.978874
603.190030 1000000.000000 0.590000 590000.000000 1.631338 1.631338 3.978874 3.978874
603.190030 1000000.000000 0.600000 600000.000000 1.591549 1.591549 3.978874 3.978874
603.190030 1000000.000000 0.610000 610000.000000 1.551761 1.551761 3.978874 3.978874
603.190030 1000000.000000 0.620000 620000.000000 1.511972 1.511972 3.978874 3.978874
603.190030 1000000.000000 0.630000 630000.000000 1.472183 1.472183 3.978874 3.978874
603.190030 1000000.000000 0.640000 640000.000000 1.432394 1.432394 3.978874 3.978874
603.190030 1000000.000000 0.650000 650000.000000 1.392606 1.392606 3.978874 3.978874
603.190030 1000000.000000 0.660000 660000.000000 1.352817 1.352817 3.978874 3.978874
603.190030 1000000.000000 0.670000 670000.000000 1.313028 1.313028 3.978874 3.978874
603.190030 1000000.000000 0.680000 680000.000000 1.273240 1.273240 3.978874 3.978874
603.190030 1000000.000000 0.690000 690000.000000 1.233451 1.233451 3.978874 3.978874
